seq_id,split,label,temp,hum,light,d_temp,d_hum,d_light,motion,drift
0,train,NOISY,20.550506,48.505454,244.541897,0.965716,0.599283,-13.138548,2.275843,0.228828
0,train,NOISY,21.088344,48.630829,247.1621,0.537838,0.125375,2.620204,2.309265,0.165054
0,train,NOISY,19.819669,48.659256,244.899237,-1.268675,0.028427,-2.262863,2.311682,0.158335
0,train,NOISY,20.843007,48.687447,241.649398,1.023338,0.028191,-3.24984,2.531786,0.283407
0,train,NOISY,20.671804,49.213917,245.905031,-0.171203,0.52647,4.255633,2.347981,0.169228
0,train,NOISY,20.90508,47.938675,262.065396,0.233276,-1.275242,16.160366,2.52494,0.295249
0,train,NOISY,20.972971,48.695716,255.66836,0.06789,0.757041,-6.397036,2.455521,0.367577
0,train,NOISY,20.100043,49.364253,242.198308,-0.872927,0.668538,-13.470052,2.490857,0.387678
0,train,NOISY,19.585967,47.549529,251.201379,-0.514076,-1.814725,9.003072,2.389725,0.447539
0,train,NOISY,20.189733,48.698084,242.326798,0.603766,1.148555,-8.874581,2.527104,0.350267
1,train,RAPID_CHANGE,25.471137,53.943561,383.476418,-0.237423,-0.952876,4.450274,1.151832,0.195851
1,train,RAPID_CHANGE,25.341906,53.537206,385.095833,-0.129231,-0.406356,1.619415,1.124109,0.197093
1,train,RAPID_CHANGE,25.171351,53.698905,384.759354,-0.170555,0.161699,-0.33648,1.132563,0.178415
1,train,RAPID_CHANGE,25.538828,54.668906,384.079628,0.367477,0.970001,-0.679726,1.139661,0.228331
1,train,RAPID_CHANGE,25.289368,54.414047,387.325646,-0.249459,-0.254858,3.246018,1.157702,0.306281
1,train,RAPID_CHANGE,25.167003,54.344881,384.07087,-0.122365,-0.069166,-3.254776,1.051856,0.349208
1,train,RAPID_CHANGE,25.278519,53.854171,378.50766,0.111516,-0.49071,-5.563211,1.058331,0.294373
1,train,RAPID_CHANGE,25.101355,54.352701,391.961622,-0.177164,0.49853,13.453962,1.034065,0.338425
1,train,RAPID_CHANGE,25.4032,53.622547,391.799637,0.301845,-0.730154,-0.161985,1.011187,0.103682
1,train,RAPID_CHANGE,25.143331,53.852915,392.34145,-0.259869,0.230368,0.541813,1.036843,0.141191
2,train,NORMAL,23.898864,56.675589,225.428836,-0.235943,-0.03747,6.996215,1.458953,0.277063
2,train,NORMAL,24.077539,56.000547,223.052211,0.178675,-0.675042,-2.376625,1.314179,0.110417
2,train,NORMAL,24.005442,55.361372,218.12363,-0.072096,-0.639174,-4.928581,1.387359,0.121828
2,train,NORMAL,24.084866,56.799733,230.195787,0.079424,1.438361,12.072157,1.373263,0.200335
2,train,NORMAL,24.046027,55.817897,216.036939,-0.038839,-0.981836,-14.158847,1.278904,0.286776
2,train,NORMAL,24.161907,55.930206,221.560729,0.11588,0.11231,5.52379,1.154313,0.181174
2,train,NORMAL,24.027394,55.650744,226.270742,-0.134513,-0.279462,4.710013,1.105856,0.091633
2,train,NORMAL,23.998202,55.320633,224.50619,-0.029193,-0.330111,-1.764552,0.984004,0.186306
2,train,NORMAL,24.149874,54.973323,231.872356,0.151673,-0.347309,7.366166,0.978829,0.250116
2,train,NORMAL,24.087994,56.234228,231.327386,-0.06188,1.260905,-0.54497,0.96624,0.077325
3,train,NOISY,25.68949,48.108301,373.991187,-0.058214,1.083701,-9.763447,1.751199,0.318844
3,train,NOISY,25.838192,49.690652,380.223879,0.148701,1.582351,6.232692,1.806798,0.076069
3,train,NOISY,25.776316,41.340718,377.617017,-0.061876,-8.349934,-2.606862,2.008655,0.321829
3,train,NOISY,25.708017,48.211233,387.31177,-0.068299,6.870515,9.694753,2.459102,0.363245
3,train,NOISY,25.708128,44.464812,389.162825,0.000111,-3.746421,1.851055,2.682181,0.166452
3,train,NOISY,25.64235,36.534061,388.432029,-0.065778,-7.930751,-0.730796,3.090749,0.743003
3,train,NOISY,25.905058,37.918939,377.562399,0.262709,1.384877,-10.86963,2.986737,1.046441
3,train,NOISY,25.797032,41.881775,365.656517,-0.108027,3.962836,-11.905882,3.065658,0.499949
3,train,NOISY,25.684061,47.412853,371.491944,-0.11297,5.531078,5.835427,3.366238,0.067536
3,train,NOISY,25.884623,45.922669,390.623478,0.200562,-1.490184,19.131533,3.46742,0.350007
4,train,SLOW_DRIFT,24.976829,45.547863,212.580695,-0.164746,-0.052698,1.849605,1.480172,0.39622
4,train,SLOW_DRIFT,25.388627,45.925882,206.5463,0.411798,0.378019,-6.034395,1.454986,0.707376
4,train,SLOW_DRIFT,25.227199,44.660207,227.782932,-0.161429,-1.265675,21.236632,1.507106,0.701404
4,train,SLOW_DRIFT,25.440698,44.909987,222.831162,0.2135,0.24978,-4.95177,1.465112,0.630072
4,train,SLOW_DRIFT,25.397172,44.016929,231.923901,-0.043527,-0.893057,9.092739,1.486043,0.652274
4,train,SLOW_DRIFT,25.486115,44.16167,244.677318,0.088943,0.144741,12.753417,1.467309,0.613436
4,train,SLOW_DRIFT,25.505957,42.702541,231.431796,0.019842,-1.459129,-13.245521,1.407332,0.696008
4,train,SLOW_DRIFT,25.676571,43.724837,234.056913,0.170615,1.022296,2.625117,1.320577,0.478006
4,train,SLOW_DRIFT,25.786673,41.552203,240.328388,0.110101,-2.172634,6.271475,1.479528,0.751364
4,train,SLOW_DRIFT,25.740638,40.936301,248.57246,-0.046035,-0.615902,8.244072,1.384392,0.760573
5,train,SLOW_DRIFT,21.769797,48.851185,224.594649,0.157147,0.081407,-1.12125,0.880206,0.196892
5,train,SLOW_DRIFT,21.74854,49.033653,232.249571,-0.021257,0.182469,7.654922,0.80169,0.141308
5,train,SLOW_DRIFT,21.852622,48.638756,212.523557,0.104081,-0.394898,-19.726013,0.864133,0.287954
5,train,SLOW_DRIFT,21.659936,47.34242,220.555934,-0.192686,-1.296336,8.032377,0.957614,0.305403
5,train,SLOW_DRIFT,21.87381,47.222566,214.454339,0.213875,-0.119854,-6.101595,0.936368,0.32271
5,train,SLOW_DRIFT,21.985423,47.580947,201.587427,0.111613,0.358381,-12.866912,0.983147,0.319714
5,train,SLOW_DRIFT,21.936329,47.217427,213.444384,-0.049094,-0.363519,11.856957,0.999522,0.347875
5,train,SLOW_DRIFT,21.918083,46.666859,214.23211,-0.018247,-0.550568,0.787726,1.007097,0.331838
5,train,SLOW_DRIFT,21.913362,46.946563,199.289488,-0.004721,0.279704,-14.942622,1.063924,0.357845
5,train,SLOW_DRIFT,21.848164,46.788593,202.185121,-0.065198,-0.15797,2.895633,1.044429,0.399279
6,val,NORMAL,22.96426,59.390745,357.870635,-0.206582,0.2403,-8.028595,0.869273,0.184415
6,val,NORMAL,23.277502,58.888873,362.199716,0.313242,-0.501872,4.329081,0.946291,0.163068
6,val,NORMAL,22.922304,58.59353,358.147109,-0.355198,-0.295343,-4.052608,1.064775,0.07832
6,val,NORMAL,23.217774,58.870444,358.729683,0.29547,0.276914,0.582575,1.095423,0.094802
6,val,NORMAL,22.979578,58.021105,355.139147,-0.238196,-0.849339,-3.590536,1.149704,0.157936
6,val,NORMAL,23.299946,58.329217,369.483373,0.320368,0.308112,14.344226,1.303273,0.142781
6,val,NORMAL,23.129315,57.926677,368.282835,-0.170631,-0.40254,-1.200539,1.230179,0.125484
6,val,NORMAL,22.936435,57.67191,365.113327,-0.19288,-0.254767,-3.169508,1.216791,0.189525
6,val,NORMAL,22.995688,58.621285,373.721899,0.059253,0.949375,8.608573,1.218904,0.174426
6,val,NORMAL,23.152098,58.532463,360.753249,0.15641,-0.088821,-12.96865,1.195761,0.078338
7,train,NORMAL,30.095983,48.874424,332.058267,0.00376,-0.162408,2.195584,0.709347,0.119284
7,train,NORMAL,29.954445,50.225983,326.029792,-0.141538,1.351559,-6.028475,0.852472,0.0754
7,train,NORMAL,30.113745,50.000624,325.669786,0.1593,-0.225359,-0.360006,0.860902,0.064095
7,train,NORMAL,30.047442,50.173457,329.271085,-0.066303,0.172832,3.601299,0.780579,0.146443
7,train,NORMAL,29.990536,49.611045,334.71962,-0.056906,-0.562411,5.448535,0.811658,0.097867
7,train,NORMAL,29.970348,50.053542,327.118531,-0.020188,0.442497,-7.601089,0.726179,0.104282
7,train,NORMAL,30.384136,48.530684,333.507276,0.413789,-1.522858,6.388745,0.914397,0.120916
7,train,NORMAL,30.031908,50.10531,340.553414,-0.352229,1.574626,7.046138,1.10775,0.169384
7,train,NORMAL,29.888687,49.693729,326.391418,-0.143221,-0.411581,-14.161995,1.256577,0.168227
7,train,NORMAL,29.979738,49.963723,332.963422,0.091052,0.269994,6.572004,1.167713,0.075145
8,train,NOISY,26.087967,59.117357,408.748774,-0.019109,-0.193558,22.38829,2.466838,0.381273
8,train,NOISY,26.172019,59.628455,329.253141,0.084052,0.511098,-79.495633,2.583193,0.439593
8,train,NOISY,25.983712,60.035454,397.775337,-0.188307,0.406999,68.522196,2.967944,0.157539
8,train,NOISY,26.054458,58.794448,390.845697,0.070746,-1.241006,-6.929639,2.931573,0.152384
8,train,NOISY,26.042132,59.396776,378.067675,-0.012327,0.602328,-12.778022,2.724248,0.147157
8,train,NOISY,26.134011,60.572025,426.098783,0.09188,1.175249,48.031108,2.885793,0.283047
8,train,NOISY,25.926492,59.02093,390.511963,-0.207519,-1.551095,-35.58682,2.968112,0.424119
8,train,NOISY,26.171551,60.187959,394.272806,0.245059,1.16703,3.760842,2.721709,0.138239
8,train,NOISY,26.105473,59.375264,389.223956,-0.066078,-0.812695,-5.048849,2.660601,0.159578
8,train,NOISY,25.891482,59.993579,350.301946,-0.21399,0.618315,-38.92201,2.431403,0.268937
9,test,NOISY,21.647165,45.921643,376.171198,-0.245404,0.021942,34.874015,2.458802,0.513554
9,test,NOISY,21.857119,47.189156,341.977482,0.209954,1.267513,-34.193716,2.633265,0.519135
9,test,NOISY,21.572962,45.645624,256.990563,-0.284157,-1.543532,-84.986919,3.343298,0.369061
9,test,NOISY,21.864818,45.626835,303.66467,0.291856,-0.018789,46.674107,3.546228,0.288879
9,test,NOISY,21.687291,45.758458,322.132004,-0.177527,0.131623,18.467334,3.220297,0.462865
9,test,NOISY,21.612607,44.730669,319.146905,-0.074684,-1.027789,-2.985099,3.137092,0.613392
9,test,NOISY,21.70997,45.069708,332.807152,0.097363,0.339039,13.660247,2.835425,0.351321
9,test,NOISY,21.769308,45.032347,277.807402,0.059339,-0.037361,-54.99975,2.824523,0.543933
9,test,NOISY,21.676657,45.724617,314.892709,-0.092651,0.69227,37.085307,2.83339,0.449468
9,test,NOISY,21.802502,45.231544,328.313762,0.125844,-0.493073,13.421053,2.60615,0.249797
10,train,NOISY,25.380236,41.076481,200.400743,-0.264392,2.956238,8.183416,2.632458,0.35569
10,train,NOISY,25.677203,38.196782,205.760674,0.296967,-2.879698,5.359931,2.38135,0.650386
