method,true,predicted,count
rule,NORMAL,NORMAL,809
rule,NORMAL,RAPID_CHANGE,0
rule,NORMAL,SLOW_DRIFT,1
rule,NORMAL,NOISY,0
rule,RAPID_CHANGE,NORMAL,265
rule,RAPID_CHANGE,RAPID_CHANGE,445
rule,RAPID_CHANGE,SLOW_DRIFT,24
rule,RAPID_CHANGE,NOISY,6
rule,SLOW_DRIFT,NORMAL,501
rule,SLOW_DRIFT,RAPID_CHANGE,71
rule,SLOW_DRIFT,SLOW_DRIFT,128
rule,SLOW_DRIFT,NOISY,0
rule,NOISY,NORMAL,43
rule,NOISY,RAPID_CHANGE,0
rule,NOISY,SLOW_DRIFT,0
rule,NOISY,NOISY,707
logistic,NORMAL,NORMAL,731
logistic,NORMAL,RAPID_CHANGE,0
logistic,NORMAL,SLOW_DRIFT,79
logistic,NORMAL,NOISY,0
logistic,RAPID_CHANGE,NORMAL,46
logistic,RAPID_CHANGE,RAPID_CHANGE,532
logistic,RAPID_CHANGE,SLOW_DRIFT,154
logistic,RAPID_CHANGE,NOISY,8
logistic,SLOW_DRIFT,NORMAL,150
logistic,SLOW_DRIFT,RAPID_CHANGE,55
logistic,SLOW_DRIFT,SLOW_DRIFT,491
logistic,SLOW_DRIFT,NOISY,4
logistic,NOISY,NORMAL,11
logistic,NOISY,RAPID_CHANGE,6
logistic,NOISY,SLOW_DRIFT,2
logistic,NOISY,NOISY,731
tree,NORMAL,NORMAL,739
tree,NORMAL,RAPID_CHANGE,0
tree,NORMAL,SLOW_DRIFT,66
tree,NORMAL,NOISY,5
tree,RAPID_CHANGE,NORMAL,45
tree,RAPID_CHANGE,RAPID_CHANGE,465
tree,RAPID_CHANGE,SLOW_DRIFT,220
tree,RAPID_CHANGE,NOISY,10
tree,SLOW_DRIFT,NORMAL,157
tree,SLOW_DRIFT,RAPID_CHANGE,18
tree,SLOW_DRIFT,SLOW_DRIFT,520
tree,SLOW_DRIFT,NOISY,5
tree,NOISY,NORMAL,5
tree,NOISY,RAPID_CHANGE,2
tree,NOISY,SLOW_DRIFT,6
tree,NOISY,NOISY,737
mlp,NORMAL,NORMAL,742
mlp,NORMAL,RAPID_CHANGE,0
mlp,NORMAL,SLOW_DRIFT,68
mlp,NORMAL,NOISY,0
mlp,RAPID_CHANGE,NORMAL,49
mlp,RAPID_CHANGE,RAPID_CHANGE,508
mlp,RAPID_CHANGE,SLOW_DRIFT,175
mlp,RAPID_CHANGE,NOISY,8
mlp,SLOW_DRIFT,NORMAL,150
mlp,SLOW_DRIFT,RAPID_CHANGE,51
mlp,SLOW_DRIFT,SLOW_DRIFT,494
mlp,SLOW_DRIFT,NOISY,5
mlp,NOISY,NORMAL,10
mlp,NOISY,RAPID_CHANGE,8
mlp,NOISY,SLOW_DRIFT,1
mlp,NOISY,NOISY,731
